transaction_id,branch_id,sale_datetime,received_at,sale_amount,cost_amount,item_count
T99000,BR07,2026-07-20 11:14:15,2026-07-21T06:15:00Z,50.65,26.34,1
T99001,BR07,2026-07-20 10:39:31,2026-07-21T06:15:00Z,70.11,36.46,1
T99002,BR07,2026-07-20 14:52:24,2026-07-21T06:15:00Z,132.6,68.95,4
T99003,BR07,2026-07-20 11:54:36,2026-07-21T06:15:00Z,27.71,14.41,1
T99004,BR07,2026-07-20 10:30:20,2026-07-21T06:15:00Z,240.48,125.05,2
T99005,BR07,2026-07-20 12:38:29,2026-07-21T06:15:00Z,66.22,34.43,4
T99006,BR07,2026-07-20 11:47:50,2026-07-21T06:15:00Z,46.3,24.08,2
T99007,BR07,2026-07-20 10:01:10,2026-07-21T06:15:00Z,60.68,31.55,2
T99008,BR07,2026-07-20 13:39:00,2026-07-21T06:15:00Z,53.57,27.86,2
T99009,BR07,2026-07-20 09:40:13,2026-07-21T06:15:00Z,24.7,12.84,2
T99010,BR07,2026-07-20 11:22:44,2026-07-21T06:15:00Z,88.16,45.84,2
T99011,BR07,2026-07-20 11:38:26,2026-07-21T06:15:00Z,254.79,132.49,1
