product_id,sku,product_name,category,uom,unit_cost,list_price,op,change_ts,_ingested_at
4001,POW-6360,Especially Pack,Power Tools,EA,52.89,124.88,I,2026-07-20 01:01:34-05:00,2026-07-21T06:15:00Z
4002,PLU-5331,Teach Pack,Plumbing,EA,35.39,53.65,I,2026-07-20 23:44:22-05:00,2026-07-21T06:15:00Z
4003,ABR-7477,Share Unit,Abrasives,EA,378.18,557.28,I,2026-07-20 21:42:03-05:00,2026-07-21T06:15:00Z
4004,FAS-4682,Pretty Pack,Fasteners,EA,309.81,581.59,I,2026-07-20 14:33:16-05:00,2026-07-21T06:15:00Z
4005,ADH-6090,Whom Assembly,Adhesives,EA,119.56,214.31,I,2026-07-20 06:33:02-05:00,2026-07-21T06:15:00Z
4006,ABR-6091,Price Assembly,Abrasives,EA,175.86,318.05,I,2026-07-20 22:31:38-05:00,2026-07-21T06:15:00Z
4007,POW-7467,While Assembly,Power Tools,EA,8.11,11.53,I,2026-07-20 16:00:56-05:00,2026-07-21T06:15:00Z
4008,ELE-7727,Several Assembly,Electrical,EA,47.06,88.86,I,2026-07-20 22:24:53-05:00,2026-07-21T06:15:00Z
4009,SAF-8454,Such Set,Safety,EA,207.79,378.73,I,2026-07-20 20:53:41-05:00,2026-07-21T06:15:00Z
4010,ADH-1555,Authority Kit,Adhesives,EA,111.69,236.48,I,2026-07-20 15:06:00-05:00,2026-07-21T06:15:00Z
4011,ELE-7653,Morning Pack,Electrical,EA,192.73,391.91,I,2026-07-20 12:41:09-05:00,2026-07-21T06:15:00Z
4012,ELE-2275,Appear Assembly,Electrical,EA,205.73,295.52,I,2026-07-20 07:05:35-05:00,2026-07-21T06:15:00Z
4013,ABR-1795,Rate Assembly,Abrasives,EA,309.64,658.18,I,2026-07-20 17:49:16-05:00,2026-07-21T06:15:00Z
4014,ELE-4282,Minute Pack,Electrical,EA,167.34,286.38,I,2026-07-20 23:13:30-05:00,2026-07-21T06:15:00Z
4015,ELE-5157,Its Set,Electrical,EA,173.63,398.82,I,2026-07-20 17:29:34-05:00,2026-07-21T06:15:00Z
4016,FAS-1571,Issue Kit,Fasteners,EA,302.09,549.59,I,2026-07-20 11:31:25-05:00,2026-07-21T06:15:00Z
4017,ADH-5472,Ahead Unit,Adhesives,EA,368.16,615.12,I,2026-07-20 01:29:00-05:00,2026-07-21T06:15:00Z
4018,SAF-5827,Their Set,Safety,EA,340.3,726.3,I,2026-07-20 22:14:50-05:00,2026-07-21T06:15:00Z
4019,ABR-9422,Spend Pack,Abrasives,EA,342.78,509.4,I,2026-07-20 07:35:10-05:00,2026-07-21T06:15:00Z
4020,HAN-5821,Specific Set,Hand Tools,EA,338.37,680.13,I,2026-07-20 04:39:24-05:00,2026-07-21T06:15:00Z
4021,SAF-9737,Represent Kit,Safety,EA,366.92,879.08,I,2026-07-20 01:17:04-05:00,2026-07-21T06:15:00Z
4022,HAN-3448,Fact Pack,Hand Tools,EA,376.31,609.94,I,2026-07-20 10:59:47-05:00,2026-07-21T06:15:00Z
4023,ELE-6954,War Pack,Electrical,EA,68.71,104.84,I,2026-07-20 06:39:06-05:00,2026-07-21T06:15:00Z
4024,PLU-2603,Movie Pack,Plumbing,EA,126.88,192.96,I,2026-07-20 14:05:33-05:00,2026-07-21T06:15:00Z
4025,HAN-2645,Do Assembly,Hand Tools,EA,88.33,121.46,I,2026-07-20 21:11:43-05:00,2026-07-21T06:15:00Z
4026,POW-3750,Election Set,Power Tools,EA,165.04,360.6,I,2026-07-20 08:40:22-05:00,2026-07-21T06:15:00Z
4027,PLU-9659,Stuff Set,Plumbing,EA,20.12,45.18,I,2026-07-20 21:54:18-05:00,2026-07-21T06:15:00Z
4028,HAN-2439,Could Assembly,Hand Tools,EA,11.95,20.05,I,2026-07-20 13:01:48-05:00,2026-07-21T06:15:00Z
4029,HAN-8323,Woman Pack,Hand Tools,EA,39.58,54.95,I,2026-07-20 03:00:03-05:00,2026-07-21T06:15:00Z
