customer_number,customer_name,industry_code,city,state,credit_limit,created_on,updated_on,op,change_ts,_ingested_at
1000351,DOYLE PAGE AND DANIELS HOLDINGS,WHOL,LAKE JOHN,CA,25000,2024-11-27 17:08:40-05:00,2026-02-09 05:20:38-05:00,I,2026-07-20 02:35:00-05:00,2026-07-21T06:15:00Z
1000464,WALKER-RYAN INC,HEAL,LAKE DIANE,MT,100000,2024-06-11 07:27:09-05:00,2026-06-12 07:55:37-05:00,I,2026-07-20 16:52:04-05:00,2026-07-21T06:15:00Z
1000600,TRAN ROSS AND MARTIN CORP,TRAN,NELSONSTAD,NJ,50000,2021-07-10 05:53:06-05:00,2022-01-11 02:37:47-05:00,I,2026-07-20 05:15:59-05:00,2026-07-21T06:15:00Z
1000884,PIERCE PLC GROUP,RETA,NEW ANTONIOVILLE,KS,500000,2023-06-21 05:51:27-05:00,2024-04-12 00:52:53-05:00,I,2026-07-20 04:46:24-05:00,2026-07-21T06:15:00Z
1001114,MITCHELL PLC INC,WHOL,WILLIAMCHESTER,NH,500000,2023-06-30 06:45:10-05:00,2026-07-13 16:01:45-05:00,I,2026-07-20 03:05:30-05:00,2026-07-21T06:15:00Z
1001294,KENNEDY LTD GROUP,CONS,LAKE WALTER,DC,25000,2022-10-08 17:49:29-05:00,2025-06-15 16:12:53-05:00,I,2026-07-20 06:11:51-05:00,2026-07-21T06:15:00Z
1001408,MORALES-TAYLOR INC,EDUC,EAST RYAN,IA,50000,2019-06-08 09:46:21-05:00,2023-11-06 04:53:07-05:00,I,2026-07-20 18:06:14-05:00,2026-07-21T06:15:00Z
1001675,VALENTINE PLC CORP,TRAN,EAST MICHAEL,IL,25000,2021-12-06 01:53:58-05:00,2026-07-15 05:48:54-05:00,I,2026-07-20 08:31:36-05:00,2026-07-21T06:15:00Z
1001947,MENDOZA PLC AND SONS,HEAL,GOMEZFORT,NJ,25000,2019-11-18 19:54:56-05:00,2022-11-12 16:23:10-05:00,I,2026-07-20 10:47:45-05:00,2026-07-21T06:15:00Z
1002132,THOMPSON LITTLE AND ROY INC,HEAL,LAKE PATRICIA,CO,50000,2024-07-10 00:47:52-05:00,2025-10-12 00:51:37-05:00,I,2026-07-20 11:11:19-05:00,2026-07-21T06:15:00Z
1002212,GREEN-FERNANDEZ LTD,CONS,BARRYFORT,NC,50000,2020-02-07 00:08:01-05:00,2024-09-30 01:14:32-05:00,I,2026-07-20 15:07:34-05:00,2026-07-21T06:15:00Z
1002371,WATKINS-HESS INC,WHOL,EAST ARTHUR,TX,100000,2021-04-18 16:12:27-05:00,2023-07-22 06:26:26-05:00,I,2026-07-20 11:00:44-05:00,2026-07-21T06:15:00Z
1002545,GUTIERREZ-GONZALEZ INC,RETA,WRIGHTPORT,OR,25000,2019-11-04 18:21:57-05:00,2022-06-29 05:53:20-05:00,I,2026-07-20 11:52:35-05:00,2026-07-21T06:15:00Z
1003087,JOHNSTON-BISHOP GROUP,UTIL,EAST STEPHEN,MD,250000,2019-07-17 00:08:06-05:00,2020-12-12 08:03:28-05:00,I,2026-07-20 13:08:07-05:00,2026-07-21T06:15:00Z
1003197,CARTER-SMITH AND SONS,UTIL,BARRYFURT,ME,500000,2021-03-28 00:35:40-05:00,2021-12-28 16:54:23-05:00,I,2026-07-20 13:23:49-05:00,2026-07-21T06:15:00Z
1003358,CHASE LLC LTD,MANU,NICHOLSLAND,MI,100000,2019-04-14 17:49:14-05:00,2020-08-27 03:00:57-05:00,I,2026-07-20 02:33:13-05:00,2026-07-21T06:15:00Z
1003450,KING-GREENE AND SONS,CONS,LAKE SHELLYBURY,NC,25000,2019-08-02 04:19:10-05:00,2021-02-24 03:22:24-05:00,I,2026-07-20 04:31:11-05:00,2026-07-21T06:15:00Z
1003714,FOSTER-BUTLER CORP,EDUC,PATRICIABOROUGH,NY,25000,2020-07-20 02:15:15-05:00,2022-03-18 19:44:57-05:00,I,2026-07-20 16:55:54-05:00,2026-07-21T06:15:00Z
1003887,THOMAS-JOHNSON AND SONS,TRAN,NORTH DEANNAMOUTH,WY,500000,2021-05-27 06:07:50-05:00,2026-02-14 02:10:16-05:00,I,2026-07-20 22:01:18-05:00,2026-07-21T06:15:00Z
1004035,HAWKINS WILSON AND MILLER AND SONS,MANU,LANGVILLE,ME,25000,2019-09-12 12:52:55-05:00,2020-05-07 13:32:50-05:00,I,2026-07-20 08:55:15-05:00,2026-07-21T06:15:00Z
1004137,JENNINGS-JACOBS HOLDINGS,RETA,NEW ROBERTTON,WA,100000,2023-02-23 09:48:17-05:00,2024-09-26 21:28:57-05:00,I,2026-07-20 16:14:37-05:00,2026-07-21T06:15:00Z
1004337,DUNCAN GROUP INC,EDUC,NGUYENVILLE,ME,25000,2024-05-17 02:11:49-05:00,2025-05-29 17:20:59-05:00,I,2026-07-20 08:52:39-05:00,2026-07-21T06:15:00Z
1004457,SCHAEFER-MORRIS AND SONS,UTIL,WEST STEPHENSTAD,UT,100000,2019-12-30 13:46:37-05:00,2021-04-27 21:21:06-05:00,I,2026-07-20 04:48:51-05:00,2026-07-21T06:15:00Z
1004536,TATE LTD LTD,UTIL,LAWRENCESHIRE,CT,25000,2020-07-18 17:19:19-05:00,2021-08-22 21:58:09-05:00,I,2026-07-20 14:47:49-05:00,2026-07-21T06:15:00Z
