order_number,line_number,product_id,quantity,unit_price,line_amount,op,change_ts,_ingested_at
500004,1,4019,1,509.4,509.4,I,2026-07-20 23:09:00-05:00,2026-07-21T06:15:00Z
500004,2,4055,2,490.56,981.12,I,2026-07-20 14:19:27-05:00,2026-07-21T06:15:00Z
500008,1,4013,2,658.18,1316.36,I,2026-07-20 05:36:29-05:00,2026-07-21T06:15:00Z
500008,2,4012,25,295.52,7388.0,I,2026-07-20 08:58:57-05:00,2026-07-21T06:15:00Z
500011,1,4034,1,312.66,312.66,I,2026-07-20 04:18:37-05:00,2026-07-21T06:15:00Z
500011,2,4029,1,54.95,54.95,I,2026-07-20 23:17:11-05:00,2026-07-21T06:15:00Z
500015,1,4025,2,121.46,242.92,I,2026-07-20 11:16:40-05:00,2026-07-21T06:15:00Z
500017,1,4060,25,143.54,3588.5,I,2026-07-20 08:34:59-05:00,2026-07-21T06:15:00Z
500017,2,4038,2,465.24,930.48,I,2026-07-20 16:42:30-05:00,2026-07-21T06:15:00Z
500017,3,4025,2,121.46,242.92,I,2026-07-20 01:20:08-05:00,2026-07-21T06:15:00Z
500017,4,4049,10,732.87,7328.7,I,2026-07-20 21:15:16-05:00,2026-07-21T06:15:00Z
500021,1,4002,5,53.65,268.25,I,2026-07-20 08:34:40-05:00,2026-07-21T06:15:00Z
500021,2,4049,2,732.87,1465.74,I,2026-07-20 08:46:59-05:00,2026-07-21T06:15:00Z
500023,1,4020,1,680.13,680.13,I,2026-07-20 20:34:57-05:00,2026-07-21T06:15:00Z
500023,2,4031,5,257.71,1288.55,I,2026-07-20 23:11:24-05:00,2026-07-21T06:15:00Z
500027,1,4007,5,11.53,57.65,I,2026-07-20 17:53:05-05:00,2026-07-21T06:15:00Z
500027,2,4021,25,879.08,21977.0,I,2026-07-20 03:45:54-05:00,2026-07-21T06:15:00Z
500027,3,4043,2,196.26,392.52,I,2026-07-20 01:46:07-05:00,2026-07-21T06:15:00Z
500027,4,4055,5,490.56,2452.8,I,2026-07-20 13:23:44-05:00,2026-07-21T06:15:00Z
500027,5,4015,10,398.82,3988.2,I,2026-07-20 03:27:14-05:00,2026-07-21T06:15:00Z
500028,1,4022,25,609.94,15248.5,I,2026-07-20 05:48:33-05:00,2026-07-21T06:15:00Z
500028,2,4043,2,196.26,392.52,I,2026-07-20 18:58:12-05:00,2026-07-21T06:15:00Z
