transaction_id,branch_id,sale_datetime,received_at,sale_amount,cost_amount,item_count
T90856,BR01,2026-07-21 11:16:08,2026-07-22T06:15:00Z,38.36,32.04,2
T90857,BR01,2026-07-21 12:08:01,2026-07-22T06:15:00Z,70.73,59.66,6
T90858,BR01,2026-07-21 17:29:25,2026-07-22T06:15:00Z,56.5,47.09,1
T90859,BR01,2026-07-21 10:52:50,2026-07-22T06:15:00Z,39.32,32.46,4
T90860,BR01,2026-07-21 10:50:30,2026-07-22T06:15:00Z,72.83,60.11,1
T90861,BR01,2026-07-21 13:47:06,2026-07-22T06:15:00Z,200.43,165.33,2
T90862,BR01,2026-07-21 13:02:20,2026-07-22T06:15:00Z,55.48,44.84,3
T90863,BR01,2026-07-21 19:07:04,2026-07-22T06:15:00Z,109.24,87.02,1
T90864,BR01,2026-07-21 08:13:24,2026-07-22T06:15:00Z,30.12,24.24,6
T90865,BR01,2026-07-21 08:37:49,2026-07-22T06:15:00Z,111.65,91.83,1
T90866,BR01,2026-07-21 12:02:33,2026-07-22T06:15:00Z,86.16,70.48,1
T90867,BR01,2026-07-21 12:56:53,2026-07-22T06:15:00Z,38.33,31.09,6
T90868,BR01,2026-07-21 18:52:53,2026-07-22T06:15:00Z,33.96,27.89,2
T90869,BR01,2026-07-21 10:15:07,2026-07-22T06:15:00Z,31.66,25.57,3
T90870,BR01,2026-07-21 09:11:00,2026-07-22T06:15:00Z,72.68,58.28,4
T90871,BR01,2026-07-21 09:00:57,2026-07-22T06:15:00Z,100.72,82.76,6
T90872,BR01,2026-07-21 10:06:24,2026-07-22T06:15:00Z,111.79,94.11,1
T90873,BR01,2026-07-21 12:51:25,2026-07-22T06:15:00Z,99.74,81.07,2
T90874,BR01,2026-07-21 19:03:42,2026-07-22T06:15:00Z,37.91,30.42,6
T90875,BR01,2026-07-21 10:41:49,2026-07-22T06:15:00Z,75.46,63.07,2
T90876,BR01,2026-07-21 17:09:34,2026-07-22T06:15:00Z,57.54,45.87,3
T90877,BR01,2026-07-21 19:46:48,2026-07-22T06:15:00Z,106.59,87.11,3
T90878,BR01,2026-07-21 19:54:00,2026-07-22T06:15:00Z,62.97,52.41,4
T90879,BR01,2026-07-21 12:07:39,2026-07-22T06:15:00Z,27.56,22.14,4
T90880,BR01,2026-07-21 10:19:58,2026-07-22T06:15:00Z,55.76,45.7,2
T90881,BR01,2026-07-21 17:46:17,2026-07-22T06:15:00Z,74.99,60.09,6
T90882,BR01,2026-07-21 15:06:39,2026-07-22T06:15:00Z,80.7,66.14,1
